customer_id,customer_name,customer_type,territory_id,territory,state,customer_segment,registration_date,credit_limit
C0001,City Pharmacy 001,Pharmacy,T004,Southern,Johor,Standard,2020-10-10,95000
C0002,Klinik Harmoni 002,Clinic,T001,Central,Selangor,Key Account,2020-11-23,140000
C0003,HealthPlus Pharmacy 003,Pharmacy,T005,East Coast,Pahang,Standard,2023-05-05,85000
C0004,HealthPlus Pharmacy 004,Pharmacy,T005,East Coast,Pahang,Standard,2020-08-22,120000
C0005,MediPoint Pharmacy 005,Pharmacy,T003,Northern,Penang,Key Account,2022-06-09,40000
C0006,Klinik Prima 006,Clinic,T006,East Malaysia,Sabah,Small,2024-04-09,40000
C0007,Klinik Prima 007,Clinic,T001,Central,Selangor,Small,2022-11-05,110000
C0008,Klinik Sihat 008,Clinic,T003,Northern,Penang,Standard,2024-05-13,95000
C0009,CareSource Distribution 009,Distributor,T005,East Coast,Pahang,Standard,2020-08-17,70000
C0010,WellCare Pharmacy 010,Pharmacy,T003,Northern,Penang,Key Account,2024-12-03,105000
C0011,BioHealth Supply 011,Distributor,T001,Central,Selangor,Small,2024-04-06,100000
C0012,City Pharmacy 012,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Small,2020-12-04,55000
C0013,City Pharmacy 013,Pharmacy,T005,East Coast,Pahang,Small,2023-01-09,135000
C0014,MediPoint Pharmacy 014,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Standard,2023-10-07,115000
C0015,Klinik Keluarga 015,Clinic,T005,East Coast,Pahang,Key Account,2021-04-05,25000
C0016,Klinik Sihat 016,Clinic,T005,East Coast,Pahang,Standard,2020-01-15,25000
C0017,WellCare Pharmacy 017,Pharmacy,T001,Central,Selangor,Key Account,2020-03-05,65000
C0018,MetroCare 018,Hospital,T002,Kuala Lumpur,Kuala Lumpur,Standard,2021-03-14,100000
C0019,Seri Murni 019,Hospital,T005,East Coast,Pahang,Standard,2022-08-26,140000
C0020,Klinik Harmoni 020,Clinic,T001,Central,Selangor,Standard,2021-12-26,80000
C0021,Klinik Harmoni 021,Clinic,T006,East Malaysia,Sabah,Standard,2023-08-16,30000
C0022,MetroCare 022,Hospital,T006,East Malaysia,Sabah,Small,2020-08-11,50000
C0023,Klinik Keluarga 023,Clinic,T005,East Coast,Pahang,Key Account,2021-01-10,55000
C0024,Klinik Keluarga 024,Clinic,T001,Central,Selangor,Small,2024-10-19,100000
C0025,Sentosa Specialist 025,Hospital,T006,East Malaysia,Sabah,Small,2024-03-23,50000
C0026,Seri Murni 026,Hospital,T004,Southern,Johor,Standard,2022-04-01,20000
C0027,Seri Murni 027,Hospital,T001,Central,Selangor,Standard,2024-05-24,140000
C0028,Klinik Keluarga 028,Clinic,T004,Southern,Johor,Key Account,2021-08-30,45000
C0029,MedSupply Distribution 029,Distributor,T005,East Coast,Pahang,Small,2020-04-27,20000
C0030,WellCare Pharmacy 030,Pharmacy,T005,East Coast,Pahang,Key Account,2022-11-06,25000
C0031,HealthPlus Pharmacy 031,Pharmacy,T001,Central,Selangor,Standard,2021-04-26,75000
C0032,Damai Medical 032,Hospital,T005,East Coast,Pahang,Standard,2020-03-22,110000
C0033,MetroCare 033,Hospital,T006,East Malaysia,Sabah,Small,2021-02-22,120000
C0034,MediPoint Pharmacy 034,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Standard,2023-10-07,115000
C0035,Klinik Harmoni 035,Clinic,T003,Northern,Penang,Key Account,2023-06-26,105000
C0036,PharmaLink Trading 036,Distributor,T001,Central,Selangor,Standard,2020-09-28,70000
C0037,MediPoint Pharmacy 037,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Standard,2022-06-16,145000
C0038,HealthPlus Pharmacy 038,Pharmacy,T003,Northern,Penang,Standard,2023-02-09,60000
C0039,PharmaLink Trading 039,Distributor,T001,Central,Selangor,Standard,2020-08-07,130000
C0040,MediPoint Pharmacy 040,Pharmacy,T003,Northern,Penang,Standard,2024-01-09,65000
C0041,Klinik Prima 041,Clinic,T006,East Malaysia,Sabah,Standard,2021-05-29,20000
C0042,MetroCare 042,Hospital,T004,Southern,Johor,Key Account,2021-11-14,135000
C0043,Damai Medical 043,Hospital,T003,Northern,Penang,Small,2023-02-03,125000
C0044,Klinik Harmoni 044,Clinic,T001,Central,Selangor,Key Account,2023-11-16,35000
C0045,WellCare Pharmacy 045,Pharmacy,T003,Northern,Penang,Standard,2020-03-26,60000
C0046,Klinik Prima 046,Clinic,T001,Central,Selangor,Standard,2021-05-26,120000
C0047,Seri Murni 047,Hospital,T005,East Coast,Pahang,Small,2024-03-14,35000
C0048,PharmaLink Trading 048,Distributor,T002,Kuala Lumpur,Kuala Lumpur,Small,2024-07-18,40000
C0049,WellCare Pharmacy 049,Pharmacy,T001,Central,Selangor,Small,2021-11-11,140000
C0050,PharmaLink Trading 050,Distributor,T006,East Malaysia,Sabah,Standard,2024-05-31,125000
C0051,Seri Murni 051,Hospital,T001,Central,Selangor,Standard,2024-07-30,85000
C0052,Klinik Sihat 052,Clinic,T002,Kuala Lumpur,Kuala Lumpur,Key Account,2021-01-30,75000
C0053,Klinik Prima 053,Clinic,T001,Central,Selangor,Standard,2022-11-09,75000
C0054,MediPoint Pharmacy 054,Pharmacy,T005,East Coast,Pahang,Small,2020-08-24,55000
C0055,Sentosa Specialist 055,Hospital,T003,Northern,Penang,Key Account,2022-06-08,70000
C0056,City Pharmacy 056,Pharmacy,T003,Northern,Penang,Standard,2022-11-13,30000
C0057,Klinik Sihat 057,Clinic,T005,East Coast,Pahang,Standard,2023-12-22,80000
C0058,Damai Medical 058,Hospital,T005,East Coast,Pahang,Standard,2020-05-23,120000
C0059,CareSource Distribution 059,Distributor,T005,East Coast,Pahang,Standard,2020-09-12,130000
C0060,CareSource Distribution 060,Distributor,T005,East Coast,Pahang,Standard,2021-10-30,75000
C0061,WellCare Pharmacy 061,Pharmacy,T005,East Coast,Pahang,Standard,2023-09-23,75000
C0062,MediPoint Pharmacy 062,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Standard,2024-09-03,15000
C0063,Klinik Keluarga 063,Clinic,T002,Kuala Lumpur,Kuala Lumpur,Small,2023-05-27,115000
C0064,Klinik Keluarga 064,Clinic,T004,Southern,Johor,Standard,2022-11-12,90000
C0065,WellCare Pharmacy 065,Pharmacy,T006,East Malaysia,Sabah,Standard,2021-08-04,95000
C0066,MediPoint Pharmacy 066,Pharmacy,T005,East Coast,Pahang,Key Account,2024-03-18,50000
C0067,WellCare Pharmacy 067,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Key Account,2020-04-04,50000
C0068,MedSupply Distribution 068,Distributor,T005,East Coast,Pahang,Standard,2023-07-13,105000
C0069,Klinik Keluarga 069,Clinic,T006,East Malaysia,Sabah,Standard,2021-05-14,35000
C0070,HealthPlus Pharmacy 070,Pharmacy,T001,Central,Selangor,Small,2021-03-24,40000
C0071,City Pharmacy 071,Pharmacy,T006,East Malaysia,Sabah,Key Account,2021-05-25,30000
C0072,Klinik Prima 072,Clinic,T004,Southern,Johor,Small,2022-06-25,110000
C0073,City Pharmacy 073,Pharmacy,T005,East Coast,Pahang,Small,2023-01-27,85000
C0074,City Pharmacy 074,Pharmacy,T006,East Malaysia,Sabah,Standard,2024-03-19,50000
C0075,City Pharmacy 075,Pharmacy,T003,Northern,Penang,Standard,2021-07-16,85000
C0076,Damai Medical 076,Hospital,T003,Northern,Penang,Standard,2021-10-16,100000
C0077,Damai Medical 077,Hospital,T002,Kuala Lumpur,Kuala Lumpur,Standard,2020-11-08,125000
C0078,Klinik Keluarga 078,Clinic,T004,Southern,Johor,Standard,2022-08-12,80000
C0079,Seri Murni 079,Hospital,T004,Southern,Johor,Small,2023-04-11,125000
C0080,Seri Murni 080,Hospital,T005,East Coast,Pahang,Standard,2021-12-21,60000
C0081,WellCare Pharmacy 081,Pharmacy,T004,Southern,Johor,Standard,2021-07-12,80000
C0082,Klinik Prima 082,Clinic,T004,Southern,Johor,Standard,2024-06-22,75000
C0083,WellCare Pharmacy 083,Pharmacy,T004,Southern,Johor,Small,2022-12-29,15000
C0084,MedSupply Distribution 084,Distributor,T005,East Coast,Pahang,Key Account,2022-05-27,35000
C0085,HealthPlus Pharmacy 085,Pharmacy,T002,Kuala Lumpur,Kuala Lumpur,Standard,2021-11-01,45000
C0086,Klinik Keluarga 086,Clinic,T003,Northern,Penang,Standard,2024-08-30,80000
C0087,Klinik Keluarga 087,Clinic,T001,Central,Selangor,Key Account,2023-01-09,20000
C0088,PharmaLink Trading 088,Distributor,T003,Northern,Penang,Standard,2024-05-18,115000
