year_month,sales_rep_id,target_amount
2025-01,SR001,79900.0
2025-01,SR002,75200.0
2025-01,SR003,61100.0
2025-01,SR004,61100.0
2025-01,SR005,89300.0
2025-01,SR006,65800.0
2025-01,SR007,84600.0
2025-01,SR008,94000.0
2025-01,SR009,94000.0
2025-01,SR010,79900.0
2025-01,SR011,75200.0
2025-01,SR012,79900.0
2025-02,SR001,79900.0
2025-02,SR002,75200.0
2025-02,SR003,61100.0
2025-02,SR004,61100.0
2025-02,SR005,89300.0
2025-02,SR006,65800.0
2025-02,SR007,84600.0
2025-02,SR008,94000.0
2025-02,SR009,94000.0
2025-02,SR010,79900.0
2025-02,SR011,75200.0
2025-02,SR012,79900.0
2025-03,SR001,95200.0
2025-03,SR002,89600.0
2025-03,SR003,72800.0
2025-03,SR004,72800.0
2025-03,SR005,106400.0
2025-03,SR006,78400.0
2025-03,SR007,100800.0
2025-03,SR008,112000.0
2025-03,SR009,112000.0
2025-03,SR010,95200.0
2025-03,SR011,89600.0
2025-03,SR012,95200.0
2025-04,SR001,85000.0
2025-04,SR002,80000.0
2025-04,SR003,65000.0
2025-04,SR004,65000.0
2025-04,SR005,95000.0
2025-04,SR006,70000.0
2025-04,SR007,90000.0
2025-04,SR008,100000.0
2025-04,SR009,100000.0
2025-04,SR010,85000.0
2025-04,SR011,80000.0
2025-04,SR012,85000.0
2025-05,SR001,85000.0
2025-05,SR002,80000.0
2025-05,SR003,65000.0
2025-05,SR004,65000.0
2025-05,SR005,95000.0
2025-05,SR006,70000.0
2025-05,SR007,90000.0
2025-05,SR008,100000.0
2025-05,SR009,100000.0
2025-05,SR010,85000.0
2025-05,SR011,80000.0
2025-05,SR012,85000.0
2025-06,SR001,95200.0
2025-06,SR002,89600.0
2025-06,SR003,72800.0
2025-06,SR004,72800.0
2025-06,SR005,106400.0
2025-06,SR006,78400.0
2025-06,SR007,100800.0
2025-06,SR008,112000.0
2025-06,SR009,112000.0
2025-06,SR010,95200.0
2025-06,SR011,89600.0
2025-06,SR012,95200.0
2025-07,SR001,85000.0
2025-07,SR002,80000.0
2025-07,SR003,65000.0
2025-07,SR004,65000.0
2025-07,SR005,95000.0
