invoice_id,invoice_date,customer_id,product_id,sales_rep_id,territory,quantity,unit_price,discount,sales_amount,unit_cost,gross_profit,sales_channel,campaign_id,payment_status
INV000001,2025-09-07,C0033,P007,SR006,East Malaysia,146,53.96,0,7878.16,26.47,4013.54,Hospital,CAM006,Paid
INV000002,2025-06-01,C0153,P001,SR012,East Malaysia,42,34.05,0.15,1215.58,21.72,303.34,Clinic,,Pending
INV000003,2025-04-23,C0170,P001,SR006,East Malaysia,8,34.05,0.03,264.23,21.72,90.47,Hospital,,Paid
INV000004,2025-01-17,C0045,P009,SR003,Northern,37,9.93,0.08,338.02,6.14,110.84,Pharmacy,,Pending
INV000005,2026-05-03,C0115,P012,SR004,Southern,120,23.6,0.05,2690.4,11.86,1267.2,Pharmacy,,Paid
INV000006,2026-06-18,C0078,P015,SR004,Southern,20,11.13,0.15,189.21,6.38,61.61,Clinic,,Pending
INV000007,2026-03-13,C0176,P004,SR011,East Coast,118,19.97,0,2356.46,10.13,1161.12,Hospital,CAM010,Paid
INV000008,2025-10-09,C0160,P018,SR012,East Malaysia,102,17.27,0.15,1497.31,8.38,642.55,Distributor,,Paid
INV000009,2026-03-17,C0026,P004,SR004,Southern,115,19.97,0.05,2181.72,10.13,1016.77,Hospital,,Paid
INV000010,2025-12-14,C0117,P013,SR010,Southern,29,14.36,0.03,403.95,8.98,143.53,Distributor,CAM008,Paid
INV000011,2025-06-06,C0176,P016,SR005,East Coast,28,23.84,0.1,600.77,14.05,207.37,Hospital,CAM004,Pending
INV000012,2026-01-17,C0034,P018,SR002,Kuala Lumpur,155,17.27,0.15,2275.32,8.38,976.42,Pharmacy,,Paid
INV000013,2026-02-25,C0091,P014,SR003,Northern,78,18.87,0.05,1398.27,11.75,481.77,Clinic,,Paid
INV000014,2025-08-06,C0040,P016,SR003,Northern,32,23.84,0.03,739.99,14.05,290.39,Pharmacy,,Paid
INV000015,2025-10-13,C0147,P008,SR010,Southern,148,17.6,0.15,2214.08,7.93,1040.44,Pharmacy,,Paid
INV000016,2025-01-27,C0156,P009,SR001,Central,51,9.93,0.03,491.24,6.14,178.1,Distributor,,Overdue
INV000017,2025-12-26,C0002,P006,SR001,Central,149,28.44,0.08,3898.56,16.3,1469.86,Clinic,CAM008,Paid
INV000018,2026-06-28,C0056,P013,SR009,Northern,121,14.36,0.03,1685.43,8.98,598.85,Pharmacy,,Paid
INV000019,2025-11-29,C0146,P003,SR005,East Coast,44,31.96,0,1406.24,20.33,511.72,Clinic,,Paid
INV000020,2025-10-06,C0114,P014,SR007,Central,160,18.87,0.05,2868.24,11.75,988.24,Hospital,CAM007,Paid
INV000021,2025-04-24,C0073,P016,SR011,East Coast,16,23.84,0,381.44,14.05,156.64,Pharmacy,,Paid
INV000022,2025-07-29,C0078,P007,SR004,Southern,70,53.96,0.03,3663.88,26.47,1810.98,Clinic,CAM005,Pending
INV000023,2025-06-29,C0034,P013,SR002,Kuala Lumpur,133,14.36,0.05,1814.39,8.98,620.05,Pharmacy,,Paid
INV000024,2025-12-29,C0019,P013,SR005,East Coast,116,14.36,0,1665.76,8.98,624.08,Hospital,,Pending
INV000025,2026-03-16,C0147,P013,SR010,Southern,79,14.36,0,1134.44,8.98,425.02,Pharmacy,,Paid
INV000026,2025-11-29,C0044,P015,SR007,Central,27,11.13,0.05,285.48,6.38,113.22,Clinic,CAM008,Paid
INV000027,2026-06-21,C0021,P013,SR012,East Malaysia,91,14.36,0,1306.76,8.98,489.58,Clinic,,Pending
INV000028,2025-03-20,C0131,P004,SR001,Central,94,19.97,0.03,1820.86,10.13,868.64,Hospital,,Paid
INV000029,2025-06-01,C0061,P004,SR005,East Coast,70,19.97,0,1397.9,10.13,688.8,Pharmacy,,Pending
INV000030,2025-03-19,C0046,P016,SR007,Central,149,23.84,0.08,3267.99,14.05,1174.54,Clinic,,Overdue
INV000031,2025-11-27,C0161,P011,SR001,Central,117,15.5,0,1813.5,7.06,987.48,Pharmacy,,Paid
INV000032,2025-10-09,C0152,P002,SR012,East Malaysia,134,20.37,0,2729.58,9.86,1408.34,Hospital,,Paid
INV000033,2026-01-13,C0074,P003,SR006,East Malaysia,162,31.96,0.05,4918.64,20.33,1625.18,Pharmacy,,Paid
INV000034,2025-02-12,C0116,P007,SR010,Southern,159,53.96,0.05,8150.66,26.47,3941.93,Clinic,,Paid
INV000035,2025-03-05,C0116,P004,SR010,Southern,26,19.97,0.05,493.26,10.13,229.88,Clinic,CAM002,Paid
INV000036,2026-03-26,C0135,P017,SR004,Southern,98,60.49,0.03,5750.18,30.19,2791.56,Clinic,,Paid
INV000037,2026-02-23,C0087,P002,SR007,Central,21,20.37,0.03,414.94,9.86,207.88,Clinic,,Paid
INV000038,2025-09-16,C0169,P005,SR010,Southern,25,48.8,0.05,1159.0,23.91,561.25,Hospital,CAM006,Paid
INV000039,2026-02-06,C0034,P003,SR008,Kuala Lumpur,148,31.96,0.03,4588.18,20.33,1579.34,Pharmacy,,Pending
INV000040,2025-05-11,C0172,P017,SR005,East Coast,170,60.49,0.08,9460.64,30.19,4328.34,Pharmacy,,Paid
INV000041,2025-01-19,C0093,P010,SR004,Southern,59,17.45,0.03,998.66,11.04,347.3,Pharmacy,,Paid
INV000042,2025-05-21,C0040,P003,SR009,Northern,30,31.96,0.05,910.86,20.33,300.96,Pharmacy,,Pending
INV000043,2026-06-24,C0010,P011,SR003,Northern,157,15.5,0.03,2360.49,7.06,1252.07,Pharmacy,,Paid
INV000044,2025-06-19,C0113,P002,SR009,Northern,98,20.37,0.08,1836.56,9.86,870.28,Clinic,,Paid
INV000045,2026-03-31,C0157,P010,SR010,Southern,64,17.45,0.05,1060.96,11.04,354.4,Pharmacy,CAM011,Pending
INV000046,2025-07-18,C0095,P015,SR011,East Coast,77,11.13,0.08,788.45,6.38,297.19,Pharmacy,,Paid
INV000047,2025-06-15,C0052,P005,SR008,Kuala Lumpur,18,48.8,0.05,834.48,23.91,404.1,Clinic,,Paid
INV000048,2025-04-16,C0133,P004,SR007,Central,26,19.97,0.08,477.68,10.13,214.3,Clinic,CAM003,Pending
INV000049,2025-04-04,C0057,P015,SR011,East Coast,11,11.13,0.05,116.31,6.38,46.13,Clinic,,Paid
INV000050,2026-01-31,C0021,P012,SR006,East Malaysia,12,23.6,0.03,274.7,11.86,132.38,Clinic,CAM009,Pending
INV000051,2025-05-21,C0010,P010,SR009,Northern,40,17.45,0.08,642.16,11.04,200.56,Pharmacy,,Paid
INV000052,2025-03-23,C0005,P009,SR003,Northern,43,9.93,0.05,405.64,6.14,141.62,Pharmacy,,Paid
INV000053,2025-04-24,C0074,P008,SR012,East Malaysia,36,17.6,0,633.6,7.93,348.12,Pharmacy,,Pending
INV000054,2026-04-14,C0017,P004,SR007,Central,157,19.97,0.05,2978.53,10.13,1388.12,Pharmacy,,Paid
INV000055,2025-05-28,C0075,P014,SR003,Northern,162,18.87,0.03,2965.23,11.75,1061.73,Pharmacy,,Paid
INV000056,2025-03-29,C0135,P012,SR004,Southern,139,23.6,0.05,3116.38,11.86,1467.84,Clinic,,Paid
INV000057,2025-01-21,C0100,P016,SR004,Southern,167,23.84,0.03,3861.84,14.05,1515.49,Clinic,,Pending
INV000058,2026-01-01,C0018,P012,SR002,Kuala Lumpur,173,23.6,0.05,3878.66,11.86,1826.88,Hospital,,Pending
INV000059,2025-12-07,C0035,P002,SR009,Northern,144,20.37,0.03,2845.28,9.86,1425.44,Clinic,,Pending
INV000060,2026-04-21,C0179,P016,SR004,Southern,39,23.84,0,929.76,14.05,381.81,Pharmacy,,Paid
INV000061,2025-10-28,C0052,P002,SR002,Kuala Lumpur,15,20.37,0.03,296.38,9.86,148.48,Clinic,CAM007,Overdue
INV000062,2026-04-30,C0065,P002,SR006,East Malaysia,78,20.37,0.03,1541.19,9.86,772.11,Pharmacy,,Pending
INV000063,2025-12-06,C0070,P004,SR007,Central,116,19.97,0.1,2084.87,10.13,909.79,Pharmacy,,Pending
INV000064,2026-01-31,C0087,P006,SR007,Central,132,28.44,0.03,3641.46,16.3,1489.86,Clinic,,Paid
INV000065,2025-03-26,C0109,P003,SR012,East Malaysia,159,31.96,0.15,4319.39,20.33,1086.92,Clinic,CAM002,Paid
INV000066,2025-03-23,C0084,P010,SR011,East Coast,119,17.45,0.05,1972.72,11.04,658.96,Distributor,,Paid
